EPOCHS; NETWORK PREDICT
1; 16.000000
2; 20.800000
3; 53.600000
4; 62.800000
5; 67.800000
6; 72.500000
7; 72.900000
8; 77.800000
9; 81.600000
10; 71.500000
11; 82.700000
12; 87.500000
13; 89.100000
14; 84.500000
15; 86.700000
16; 90.000000
17; 90.300000
18; 86.500000
19; 91.400000
20; 88.700000
21; 88.100000
22; 88.500000
23; 89.200000
24; 88.700000
25; 85.100000
26; 93.000000
27; 93.100000
28; 88.400000
29; 89.000000
30; 93.900000
31; 91.000000
32; 94.700000
33; 91.300000
34; 90.200000
35; 92.600000
36; 93.500000
37; 92.700000
38; 92.100000
39; 93.300000
40; 93.100000
41; 94.900000
42; 91.700000
43; 91.800000
44; 93.300000
45; 93.300000
46; 93.900000
47; 94.600000
48; 91.700000
49; 92.000000
50; 95.200000
51; 93.900000
52; 92.000000
53; 93.300000
54; 94.100000
55; 93.800000
56; 94.400000
57; 92.700000
58; 93.300000
59; 95.600000
60; 95.800000
61; 94.800000
62; 97.000000
63; 93.700000
64; 91.900000
65; 92.400000
66; 95.000000
67; 95.500000
68; 93.500000
69; 94.900000
70; 94.400000
71; 95.500000
72; 95.100000
73; 94.700000
74; 94.000000
75; 93.300000
76; 94.500000
77; 95.700000
78; 94.300000
79; 93.500000
80; 96.200000
81; 95.400000
82; 92.500000
83; 95.000000
84; 94.600000
85; 96.100000
86; 96.900000
87; 96.000000
88; 95.000000
89; 91.900000
90; 94.800000
91; 95.200000
92; 95.800000
93; 94.900000
94; 95.700000
95; 94.800000
96; 95.200000
97; 95.100000
98; 93.900000
99; 96.800000
100; 95.800000
