DATA SET ; NODES ; TRAINING TIME ; NETWORK PREDICT
2000; 100; 3.314938; 85.100000
2000; 150; 5.105044; 90.800000
2000; 200; 6.969072; 90.700000
2000; 250; 8.750140; 91.100000
2000; 300; 10.522121; 91.200000
2000; 350; 12.301696; 90.200000
2000; 400; 14.091016; 91.300000
2000; 450; 15.776222; 88.100000
2000; 500; 17.594447; 89.400000
2000; 550; 19.504374; 90.300000
2000; 600; 21.332050; 89.200000
2000; 650; 23.092779; 88.200000
2000; 700; 24.996220; 91.500000
2000; 750; 26.790945; 89.100000
2000; 800; 26.504431; 87.800000
2000; 850; 28.165173; 86.700000
2000; 900; 29.996126; 84.800000
2000; 950; 31.456422; 88.400000
2000; 1000; 33.206266; 88.900000
2000; 1050; 34.953698; 88.200000
2000; 1100; 36.501087; 89.900000
2000; 1150; 38.340600; 83.800000
2000; 1200; 39.699766; 88.200000
2000; 1250; 41.570894; 92.300000
2000; 1300; 43.467743; 88.400000
2000; 1350; 45.357875; 91.200000
2000; 1400; 46.719878; 84.700000
2000; 1450; 48.242266; 91.700000
2000; 1500; 49.985348; 89.800000
